name|weight|mass|A|d|b|t|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|ro|H
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|
2L8X8X1/2X3/4|52.8|52.8|15.7|8.00|8.00|0.500|2.17|0.490|97.6|30.2|16.7|2.49|199|39.9|23.8|3.56|4.75|0.837
2L6X6X1|74.8|74.8|22.0|6.00|6.00|1.00|1.86|0.917|70.8|30.8|17.1|1.79|146|40.9|24.3|2.58|3.42|0.843
2L6X6X1X3/8|74.8|74.8|22.0|6.00|6.00|1.00|1.86|0.917|70.8|30.8|17.1|1.79|163|45.0|26.3|2.72|3.53|0.852
2L6X6X1X3/4|74.8|74.8|22.0|6.00|6.00|1.00|1.86|0.917|70.8|30.8|17.1|1.79|180|49.2|28.2|2.86|3.64|0.861
2L6X6X7/8|66.2|66.2|19.5|6.00|6.00|0.875|1.81|0.813|63.8|27.4|15.2|1.81|128|35.3|21.3|2.56|3.42|0.839
2L6X6X7/8X3/8|66.2|66.2|19.5|6.00|6.00|0.875|1.81|0.813|63.8|27.4|15.2|1.81|142|39.0|22.9|2.70|3.53|0.848
2L6X6X7/8X3/4|66.2|66.2|19.5|6.00|6.00|0.875|1.81|0.813|63.8|27.4|15.2|1.81|157|42.6|24.6|2.84|3.63|0.857
2L6X6X3/4|57.4|57.4|16.9|6.00|6.00|0.750|1.77|0.705|56.2|23.8|13.3|1.82|109|29.9|18.2|2.54|3.42|0.835
2L6X6X3/4X3/8|57.4|57.4|16.9|6.00|6.00|0.750|1.77|0.705|56.2|23.8|13.3|1.82|120|33.1|19.4|2.67|3.52|0.844
2L6X6X3/4X3/4|57.4|57.4|16.9|6.00|6.00|0.750|1.77|0.705|56.2|23.8|13.3|1.82|133|36.3|20.9|2.81|3.63|0.853
2L6X6X5/8|48.4|48.4|14.3|6.00|6.00|0.625|1.72|0.594|48.2|20.2|11.3|1.84|90.8|24.5|15.1|2.52|3.42|0.831
2L6X6X5/8X3/8|48.4|48.4|14.3|6.00|6.00|0.625|1.72|0.594|48.2|20.2|11.3|1.84|100|27.2|16.2|2.65|3.52|0.840
2L6X6X5/8X3/4|48.4|48.4|14.3|6.00|6.00|0.625|1.72|0.594|48.2|20.2|11.3|1.84|111|29.9|17.4|2.79|3.62|0.849
2L6X6X9/16|43.8|43.8|12.9|6.00|6.00|0.563|1.70|0.538|44.0|18.4|10.2|1.85|81.3|21.9|13.6|2.51|3.42|0.829
2L6X6X9/16X3/8|43.8|43.8|12.9|6.00|6.00|0.563|1.70|0.538|44.0|18.4|10.2|1.85|89.9|24.3|14.5|2.64|3.52|0.838
2L6X6X9/16X3/4|43.8|43.8|12.9|6.00|6.00|0.563|1.70|0.538|44.0|18.4|10.2|1.85|99.7|26.8|15.6|2.78|3.62|0.847
2L6X6X1/2|39.2|39.2|11.5|6.00|6.00|0.500|1.67|0.481|39.8|16.4|9.18|1.86|71.9|19.3|12.0|2.50|3.42|0.827
2L6X6X1/2X3/8|39.2|39.2|11.5|6.00|6.00|0.500|1.67|0.481|39.8|16.4|9.18|1.86|79.5|21.4|12.8|2.63|3.52|0.836
2L6X6X1/2X3/4|39.2|39.2|11.5|6.00|6.00|0.500|1.67|0.481|39.8|16.4|9.18|1.86|87.6|23.6|13.7|2.76|3.62|0.846
2L6X6X7/16|34.4|34.4|10.2|6.00|6.00|0.438|1.65|0.423|35.2|14.5|8.12|1.86|63.2|16.8|10.5|2.49|3.42|0.826
2L6X6X7/16X3/8|34.4|34.4|10.2|6.00|6.00|0.438|1.65|0.423|35.2|14.5|8.12|1.86|70.0|18.7|11.3|2.62|3.52|0.835
2L6X6X7/16X3/4|34.4|34.4|10.2|6.00|6.00|0.438|1.65|0.423|35.2|14.5|8.12|1.86|77.1|20.6|12.1|2.75|3.62|0.844
2L6X6X3/8|29.8|29.8|8.76|6.00|6.00|0.375|1.62|0.365|30.8|12.5|7.02|1.87|53.9|14.2|8.98|2.48|3.42|0.824
