name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W12X16|16.0|16.0|4.71|12.0|3.99|0.220|0.265|0.565|103|20.1|17.1|4.67|2.82|2.26|1.41|0.773|0.103|96.9|11.7|3.09|2.93|9.82|0.983|10.375|2.25
W12X14|14.0|14.0|4.16|11.9|3.97|0.200|0.225|0.525|88.6|17.4|14.9|4.62|2.36|1.90|1.19|0.753|0.0704|80.4|11.6|2.59|2.48|8.49|0.961|10.375|2.25
W10X112|112|112|32.9|11.4|10.4|0.755|1.25|1.75|716|147|126|4.66|236|69.2|45.3|2.68|15.1|6020|26.4|85.8|30.6|73.5|3.08|7.5|5.5
W10X100|100|100|29.3|11.1|10.3|0.680|1.12|1.62|623|130|112|4.60|207|61.0|40.0|2.65|10.9|5150|25.7|74.1|26.9|64.2|3.04|7.5|5.5
W10X88|88.0|88.0|26.0|10.8|10.3|0.605|0.990|1.49|534|113|98.5|4.54|179|53.1|34.8|2.63|7.53|4330|25.3|64.4|23.5|55.9|2.99|7.5|5.5
W10X77|77.0|77.0|22.7|10.6|10.2|0.530|0.870|1.37|455|97.6|85.9|4.49|154|45.9|30.1|2.60|5.11|3630|24.8|55.0|20.5|48.4|2.95|7.5|5.5
W10X68|68.0|68.0|19.9|10.4|10.1|0.470|0.770|1.27|394|85.3|75.7|4.44|134|40.1|26.4|2.59|3.56|3100|24.3|47.3|17.9|42.1|2.92|7.5|5.5
W10X60|60.0|60.0|17.7|10.2|10.1|0.420|0.680|1.18|341|74.6|66.7|4.39|116|35.0|23.0|2.57|2.48|2640|24.0|41.3|15.7|36.8|2.88|7.5|5.5
W10X54|54.0|54.0|15.8|10.1|10.0|0.370|0.615|1.12|303|66.6|60.0|4.37|103|31.3|20.6|2.56|1.82|2320|23.7|36.5|14.0|32.8|2.85|7.5|5.5
W10X49|49.0|49.0|14.4|10.0|10.0|0.340|0.560|1.06|272|60.4|54.6|4.35|93.4|28.3|18.7|2.54|1.39|2070|23.6|33.0|12.8|29.8|2.84|7.5|5.5
W10X45|45.0|45.0|13.3|10.1|8.02|0.350|0.620|1.12|248|54.9|49.1|4.32|53.4|20.3|13.3|2.01|1.51|1200|19.0|23.6|11.3|27.0|2.27|7.5|5.5
W10X39|39.0|39.0|11.5|9.92|7.99|0.315|0.530|1.03|209|46.8|42.1|4.27|45.0|17.2|11.3|1.98|0.976|992|18.8|19.9|9.55|23.0|2.24|7.5|5.5
W10X33|33.0|33.0|9.71|9.73|7.96|0.290|0.435|0.935|171|38.8|35.0|4.19|36.6|14.0|9.20|1.94|0.583|791|18.5|16.0|7.75|18.9|2.20|7.5|5.5
W10X30|30.0|30.0|8.84|10.5|5.81|0.300|0.510|0.810|170|36.6|32.4|4.38|16.7|8.84|5.75|1.37|0.622|414|14.5|10.7|7.02|18.2|1.60|8.25|2.75
W10X26|26.0|26.0|7.61|10.3|5.77|0.260|0.440|0.740|144|31.3|27.9|4.35|14.1|7.50|4.89|1.36|0.402|345|14.2|9.03|5.98|15.4|1.58|8.25|2.75
W10X22|22.0|22.0|6.49|10.2|5.75|0.240|0.360|0.660|118|26.0|23.2|4.27|11.4|6.10|3.97|1.33|0.239|275|14.1|7.32|4.88|12.9|1.55|8.25|2.75
W10X19|19.0|19.0|5.62|10.2|4.02|0.250|0.395|0.695|96.3|21.6|18.8|4.14|4.29|3.35|2.14|0.874|0.233|104|9.85|3.91|3.65|10.6|1.06|8.375|2.25
