name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|Wno|Sw1|Qf|Qw|rts|T|WGi
 |lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in²|in⁴|in³|in³|in|in|in
W33X118|118|118|34.7|32.9|11.5|0.550|0.740|1.44|5900|415|359|13.0|187|51.3|32.6|2.32|5.30|48300|92.5|197|65.1|205|2.89|28.875|5.5
W30X391|391|391|115|33.2|15.6|1.36|2.44|3.23|20700|1450|1250|13.4|1550|310|198|3.67|173|366000|120|1140|267|722|4.37|25.75|5.5
W30X357|357|357|105|32.8|15.5|1.24|2.24|3.03|18700|1320|1140|13.3|1390|279|179|3.64|134|324000|118|1030|244|655|4.31|25.75|5.5
W30X326|326|326|95.9|32.4|15.4|1.14|2.05|2.84|16800|1190|1040|13.2|1240|252|162|3.60|103|287000|117|922|222|593|4.26|25.75|5.5
W30X292|292|292|86.0|32.0|15.3|1.02|1.85|2.64|14900|1060|930|13.2|1100|223|144|3.58|75.2|250000|115|816|199|529|4.22|25.75|5.5
W30X261|261|261|77.0|31.6|15.2|0.930|1.65|2.44|13100|943|829|13.1|959|196|127|3.53|54.1|215000|114|714|176|469|4.16|25.75|5.5
W30X235|235|235|69.3|31.3|15.1|0.830|1.50|2.29|11700|847|748|13.0|855|175|114|3.51|40.3|190000|112|637|159|421|4.13|25.75|5.5
W30X211|211|211|62.3|30.9|15.1|0.775|1.32|2.10|10300|751|665|12.9|757|155|100|3.49|28.4|166000|112|556|140|372|4.11|25.75|5.5
W30X191|191|191|56.1|30.7|15.0|0.710|1.19|1.97|9200|675|600|12.8|673|138|89.5|3.46|21.0|146000|111|494|125|335|4.06|25.75|5.5
W30X173|173|173|50.9|30.4|15.0|0.655|1.07|1.85|8230|607|541|12.7|598|123|79.8|3.42|15.6|129000|110|441|113|301|4.03|25.75|5.5
W30X148|148|148|43.6|30.7|10.5|0.650|1.18|1.83|6680|500|436|12.4|227|68.0|43.3|2.28|14.5|49400|77.5|240|85.8|248|2.77|25.75|5.5
W30X132|132|132|38.8|30.3|10.5|0.615|1.00|1.65|5770|437|380|12.2|196|58.4|37.2|2.25|9.72|42100|76.9|202|72.4|215|2.75|25.75|5.5
W30X124|124|124|36.5|30.2|10.5|0.585|0.930|1.58|5360|408|355|12.1|181|54.0|34.4|2.23|7.99|38600|76.8|188|67.5|202|2.73|25.75|5.5
W30X116|116|116|34.2|30.0|10.5|0.565|0.850|1.50|4930|378|329|12.0|164|49.2|31.3|2.19|6.43|34900|76.5|171|61.5|187|2.70|25.75|5.5
W30X108|108|108|31.7|29.8|10.5|0.545|0.760|1.41|4470|346|299|11.9|146|43.9|27.9|2.15|4.99|30900|76.2|152|54.9|170|2.67|25.75|5.5
W30X99|99.0|99.0|29.0|29.7|10.5|0.520|0.670|1.32|3990|312|269|11.7|128|38.6|24.5|2.10|3.77|26800|76.2|134|48.5|154|2.62|25.75|5.5
W30X90|90.0|90.0|26.3|29.5|10.4|0.470|0.610|1.26|3610|283|245|11.7|115|34.7|22.1|2.09|2.84|24000|75.1|119|43.7|139|2.60|25.75|5.5
W27X539|539|539|159|32.5|15.3|1.97|3.54|4.33|25600|1890|1570|12.7|2110|437|277|3.65|496|443000|111|1500|342|943|4.41|23|5.5
W27X368|368|368|109|30.4|14.7|1.38|2.48|3.27|16200|1240|1060|12.2|1310|279|179|3.48|170|255000|103|935|231|621|4.15|23|5.5
W27X336|336|336|99.2|30.0|14.6|1.26|2.28|3.07|14600|1130|972|12.1|1180|252|162|3.45|131|226000|101|842|211|563|4.10|23|5.5
W27X307|307|307|90.2|29.6|14.4|1.16|2.09|2.88|13100|1030|887|12.0|1050|227|146|3.41|101|199000|99.0|745|190|508|4.04|23|5.5
W27X281|281|281|83.1|29.3|14.4|1.06|1.93|2.72|11900|936|814|12.0|953|206|133|3.39|79.5|178000|98.5|685|176|466|4.00|23|5.5
W27X258|258|258|76.1|29.0|14.3|0.980|1.77|2.56|10800|852|745|11.9|859|187|120|3.36|61.6|159000|97.3|616|160|424|3.96|23|5.5
W27X235|235|235|69.4|28.7|14.2|0.910|1.61|2.40|9700|772|677|11.8|769|168|108|3.33|47.0|141000|96.2|550|145|384|3.92|23|5.5
W27X217|217|217|63.9|28.4|14.1|0.830|1.50|2.29|8910|711|627|11.8|704|154|100|3.32|37.6|128000|94.8|501|134|351|3.89|23|5.5
W27X194|194|194|57.1|28.1|14.0|0.750|1.34|2.13|7860|631|559|11.7|619|136|88.1|3.29|27.1|111000|93.7|439|119|312|3.85|23|5.5
W27X178|178|178|52.5|27.8|14.1|0.725|1.19|1.98|7020|570|505|11.6|555|122|78.8|3.25|20.1|98400|93.8|393|106|282|3.83|23|5.5
W27X161|161|161|47.6|27.6|14.0|0.660|1.08|1.87|6310|515|458|11.5|497|109|70.9|3.23|15.1|87300|92.8|351|95.5|254|3.79|23|5.5
W27X146|146|146|43.2|27.4|14.0|0.605|0.975|1.76|5660|464|414|11.5|443|97.7|63.5|3.20|11.3|77200|92.5|316|86.3|229|3.76|23|5.5
W27X129|129|129|37.8|27.6|10.0|0.610|1.10|1.70|4760|395|345|11.2|184|57.6|36.8|2.21|11.1|32500|66.3|182|68.4|195|2.66|23|5.5
W27X114|114|114|33.6|27.3|10.1|0.570|0.930|1.53|4080|343|299|11.0|159|49.3|31.5|2.18|7.33|27600|66.6|156|58.4|170|2.65|23|5.5
W27X102|102|102|30.0|27.1|10.0|0.515|0.830|1.43|3620|305|267|11.0|139|43.4|27.8|2.15|5.28|24000|65.7|136|51.7|151|2.62|23|5.5
W27X94|94.0|94.0|27.6|26.9|10.0|0.490|0.745|1.34|3270|278|243|10.9|124|38.8|24.8|2.12|4.03|21300|65.4|122|46.3|137|2.59|23|5.5
W27X84|84.0|84.0|24.7|26.7|10.0|0.460|0.640|1.24|2850|244|213|10.7|106|33.2|21.2|2.07|2.81|17900|65.2|104|39.8|121|2.54|23|5.5
W24X370|370|370|109|28.0|13.7|1.52|2.72|3.22|13400|1130|957|11.1|1160|267|170|3.27|201|186000|86.6|807|209|568|3.92|20|5.5
W24X335|335|335|98.3|27.5|13.5|1.38|2.48|2.98|11900|1020|864|11.0|1030|238|152|3.23|152|161000|84.4|707|188|506|3.86|20|5.5
W24X306|306|306|89.7|27.1|13.4|1.26|2.28|2.78|10700|922|789|10.9|919|214|137|3.20|117|142000|83.1|635|172|459|3.81|20|5.5
W24X279|279|279|81.9|26.7|13.3|1.16|2.09|2.59|9600|835|718|10.8|823|193|124|3.17|90.5|125000|81.8|569|156|416|3.76|20|5.5
W24X250|250|250|73.5|26.3|13.2|1.04|1.89|2.39|8490|744|644|10.7|724|171|110|3.14|66.6|108000|80.6|502|140|370|3.71|20|5.5
W24X229|229|229|67.2|26.0|13.1|0.960|1.73|2.23|7650|675|588|10.7|651|154|99.4|3.11|51.3|96100|79.5|450|127|336|3.67|20|5.5
W24X207|207|207|60.7|25.7|13.0|0.870|1.57|2.07|6820|606|531|10.6|578|137|88.8|3.08|38.3|84100|78.4|400|115|302|3.62|20|5.5
W24X192|192|192|56.5|25.5|13.0|0.810|1.46|1.96|6260|559|491|10.5|530|126|81.8|3.07|30.8|76300|78.1|371|107|280|3.60|20|5.5
W24X176|176|176|51.7|25.2|12.9|0.750|1.34|1.84|5680|511|450|10.5|479|115|74.3|3.04|23.9|68400|76.9|333|97.1|254|3.57|20|5.5
W24X162|162|162|47.8|25.0|13.0|0.705|1.22|1.72|5170|468|414|10.4|443|105|68.4|3.05|18.5|62600|77.3|306|89.2|233|3.57|20|5.5
W24X146|146|146|43.0|24.7|12.9|0.650|1.09|1.59|4580|418|371|10.3|391|93.2|60.5|3.01|13.4|54600|76.1|268|78.8|207|3.53|20|5.5
W24X131|131|131|38.6|24.5|12.9|0.605|0.960|1.46|4020|370|329|10.2|340|81.5|53.0|2.97|9.50|47100|75.9|235|69.5|184|3.49|20|5.5
W24X117|117|117|34.4|24.3|12.8|0.550|0.850|1.35|3540|327|291|10.1|297|71.4|46.5|2.94|6.72|40800|75.0|204|61.0|163|3.46|20|5.5
W24X104|104|104|30.7|24.1|12.8|0.500|0.750|1.25|3100|289|258|10.1|259|62.4|40.7|2.91|4.72|35200|74.7|179|53.9|144|3.42|20|5.5
W24X103|103|103|30.3|24.5|9.00|0.550|0.980|1.48|3000|280|245|10.0|119|41.5|26.5|1.99|7.07|16600|52.9|117|48.7|139|2.40|20|5.5
W24X94|94.0|94.0|27.7|24.3|9.07|0.515|0.875|1.38|2700|254|222|9.87|109|37.5|24.0|1.98|5.26|15000|53.1|105|43.8|126|2.40|20|5.5
W24X84|84.0|84.0|24.7|24.1|9.02|0.470|0.770|1.27|2370|224|196|9.79|94.4|32.6|20.9|1.95|3.70|12800|52.6|91.3|38.4|111|2.37|20|5.5
W24X76|76.0|76.0|22.4|23.9|8.99|0.440|0.680|1.18|2100|200|176|9.69|82.5|28.6|18.4|1.92|2.68|11100|52.2|79.8|33.8|98.9|2.33|20|5.5
W24X68|68.0|68.0|20.1|23.7|8.97|0.415|0.585|1.09|1830|177|154|9.55|70.4|24.5|15.7|1.87|1.87|9430|51.8|68.0|28.9|87.0|2.30|20|5.5
W24X62|62.0|62.0|18.2|23.7|7.04|0.430|0.590|1.09|1550|153|131|9.23|34.5|15.7|9.80|1.38|1.71|4620|40.7|42.2|22.5|75.3|1.75|20.75|3.5
W24X55|55.0|55.0|16.2|23.6|7.01|0.395|0.505|1.01|1350|134|114|9.11|29.1|13.3|8.30|1.34|1.18|3870|40.5|35.8|19.3|66.1|1.72|20.75|3.5
W21X275|275|275|81.8|24.1|12.9|1.22|2.19|3.37|7690|749|638|9.70|787|191|122|3.10|107|94400|70.7|499|140|369|3.68|17.25|5.5
W21X248|248|248|73.8|23.7|12.8|1.10|1.99|3.17|6830|671|576|9.62|699|170|109|3.08|80.7|82400|69.5|442|126|330|3.63|17.25|5.5
W21X223|223|223|66.5|23.4|12.7|1.00|1.79|2.97|6080|601|520|9.56|614|150|96.7|3.04|59.5|71700|68.6|390|113|295|3.57|17.25|5.5
W21X201|201|201|59.3|23.0|12.6|0.910|1.63|2.13|5310|530|461|9.47|542|133|86.1|3.02|40.9|62000|67.3|346|102|264|3.55|17.25|5.5
W21X182|182|182|53.6|22.7|12.5|0.830|1.48|1.98|4730|476|417|9.40|483|119|77.2|3.00|30.7|54400|66.3|307|91.6|237|3.51|17.25|5.5
W21X166|166|166|48.8|22.5|12.4|0.750|1.36|1.86|4280|432|380|9.36|435|108|70.0|2.99|23.6|48500|65.5|276|83.7|215|3.48|17.25|5.5
W21X147|147|147|43.2|22.1|12.5|0.720|1.15|1.65|3630|373|329|9.17|376|92.6|60.1|2.95|15.4|41100|65.5|235|71.0|186|3.46|17.25|5.5
W21X132|132|132|38.8|21.8|12.4|0.650|1.04|1.54|3220|333|295|9.12|333|82.3|53.5|2.93|11.3|36000|64.4|206|62.8|164|3.43|17.25|5.5
W21X122|122|122|35.9|21.7|12.4|0.600|0.960|1.46|2960|307|273|9.09|305|75.6|49.2|2.92|8.98|32700|64.3|191|58.7|153|3.40|17.25|5.5
W21X111|111|111|32.6|21.5|12.3|0.550|0.875|1.38|2670|279|249|9.05|274|68.2|44.5|2.90|6.83|29200|63.4|171|53.0|138|3.37|17.25|5.5
W21X101|101|101|29.8|21.4|12.3|0.500|0.800|1.30|2420|253|227|9.02|248|61.7|40.3|2.89|5.21|26200|63.3|156|48.6|126|3.35|17.25|5.5
W21X93|93.0|93.0|27.3|21.6|8.42|0.580|0.930|1.43|2070|221|192|8.70|92.9|34.7|22.1|1.84|6.03|9940|43.5|85.2|37.7|109|2.24|18.375|5.5
W21X83|83.0|83.0|24.4|21.4|8.36|0.515|0.835|1.34|1830|196|171|8.67|81.4|30.5|19.5|1.83|4.34|8630|43.0|75.0|33.7|96.8|2.21|18.375|5.5
W21X73|73.0|73.0|21.5|21.2|8.30|0.455|0.740|1.24|1600|172|151|8.64|70.6|26.6|17.0|1.81|3.02|7410|42.5|65.2|29.7|85.0|2.19|18.375|5.5
W21X68|68.0|68.0|20.0|21.1|8.27|0.430|0.685|1.19|1480|160|140|8.60|64.7|24.4|15.7|1.80|2.45|6760|42.2|59.8|27.4|78.7|2.17|18.375|5.5
W21X62|62.0|62.0|18.3|21.0|8.24|0.400|0.615|1.12|1330|144|127|8.54|57.5|21.7|14.0|1.77|1.83|5960|42.0|53.2|24.6|71.2|2.15|18.375|5.5
W21X55|55.0|55.0|16.2|20.8|8.22|0.375|0.522|1.02|1140|126|110|8.40|48.4|18.4|11.8|1.73|1.24|4980|41.7|44.7|20.8|61.8|2.11|18.375|5.5
W21X48|48.0|48.0|14.1|20.6|8.14|0.350|0.430|0.930|959|107|93.0|8.24|38.7|14.9|9.52|1.66|0.803|3950|41.0|35.9|16.9|52.3|2.05|18.375|5.5
W21X57|57.0|57.0|16.7|21.1|6.56|0.405|0.650|1.15|1170|129|111|8.36|30.6|14.8|9.35|1.35|1.77|3190|33.5|35.8|20.5|63.4|1.68|18.375|3.5
W21X50|50.0|50.0|14.7|20.8|6.53|0.380|0.535|1.04|984|110|94.5|8.18|24.9|12.2|7.64|1.30|1.14|2570|33.1|28.9|16.7|53.9|1.64|18.375|3.5
W21X44|44.0|44.0|13.0|20.7|6.50|0.350|0.450|0.950|843|95.4|81.6|8.06|20.7|10.2|6.37|1.26|0.770|2110|32.9|24.1|14.0|46.8|1.60|18.375|3.5
W18X311|311|311|91.6|22.3|12.0|1.52|2.74|3.24|6970|754|624|8.72|795|207|132|2.95|176|76200|58.7|482|140|375|3.53|15.125|5.5
W18X283|283|283|83.3|21.9|11.9|1.40|2.50|3.00|6170|676|565|8.61|704|185|118|2.91|134|65900|57.7|429|127|339|3.47|15.125|5.5
W18X258|258|258|76.0|21.5|11.8|1.28|2.30|2.70|5510|611|514|8.53|628|166|107|2.88|103|57600|56.6|384|116|306|3.42|15.125|5.5
W18X234|234|234|68.6|21.1|11.7|1.16|2.11|2.51|4900|549|466|8.44|558|149|95.8|2.85|78.7|50100|55.5|343|106|276|3.37|15.125|5.5
W18X211|211|211|62.3|20.7|11.6|1.06|1.91|2.31|4330|490|419|8.35|493|132|85.3|2.82|58.6|43400|54.5|302|94.6|246|3.32|15.125|5.5
W18X192|192|192|56.2|20.4|11.5|0.960|1.75|2.15|3870|442|380|8.28|440|119|76.8|2.79|44.7|38000|53.6|270|86.0|222|3.28|15.125|5.5
W18X175|175|175|51.4|20.0|11.4|0.890|1.59|1.99|3450|398|344|8.20|391|106|68.8|2.76|33.8|33300|52.5|238|76.9|198|3.24|15.125|5.5
W18X158|158|158|46.3|19.7|11.3|0.810|1.44|1.84|3060|356|310|8.12|347|94.8|61.4|2.74|25.2|29000|51.6|210|69.0|177|3.20|15.125|5.5
W18X143|143|143|42.0|19.5|11.2|0.730|1.32|1.72|2750|322|282|8.09|311|85.4|55.5|2.72|19.2|25700|50.9|188|62.8|160|3.17|15.125|5.5
W18X130|130|130|38.3|19.3|11.2|0.670|1.20|1.60|2460|290|256|8.03|278|76.7|49.9|2.70|14.5|22700|50.7|170|57.2|146|3.13|15.125|5.5
W18X119|119|119|35.1|19.0|11.3|0.655|1.06|1.46|2190|262|231|7.90|253|69.1|44.9|2.69|10.6|20300|50.7|152|50.6|131|3.13|15.125|5.5
W18X106|106|106|31.1|18.7|11.2|0.590|0.940|1.34|1910|230|204|7.84|220|60.5|39.4|2.66|7.48|17400|49.7|131|44.3|114|3.10|15.125|5.5
W18X97|97.0|97.0|28.5|18.6|11.1|0.535|0.870|1.27|1750|211|188|7.82|201|55.3|36.1|2.65|5.86|15800|49.2|119|40.7|105|3.08|15.125|5.5
W18X86|86.0|86.0|25.3|18.4|11.1|0.480|0.770|1.17|1530|186|166|7.77|175|48.4|31.6|2.63|4.10|13600|48.9|105|36.0|92.4|3.05|15.125|5.5
W18X76|76.0|76.0|22.3|18.2|11.0|0.425|0.680|1.08|1330|163|146|7.73|152|42.2|27.6|2.61|2.83|11700|48.2|90.1|31.5|80.6|3.02|15.125|5.5
W18X71|71.0|71.0|20.9|18.5|7.64|0.495|0.810|1.21|1170|146|127|7.50|60.3|24.7|15.8|1.70|3.49|4700|33.8|52.3|25.6|72.4|2.05|15.5|3.5
W18X65|65.0|65.0|19.1|18.4|7.59|0.450|0.750|1.15|1070|133|117|7.49|54.8|22.5|14.4|1.69|2.73|4240|33.5|47.7|23.6|66.3|2.03|15.5|3.5
W18X60|60.0|60.0|17.6|18.2|7.56|0.415|0.695|1.10|984|123|108|7.47|50.1|20.6|13.3|1.68|2.17|3850|33.1|43.5|21.7|60.6|2.02|15.5|3.5
W18X55|55.0|55.0|16.2|18.1|7.53|0.390|0.630|1.03|890|112|98.3|7.41|44.9|18.5|11.9|1.67|1.66|3430|32.9|39.0|19.6|55.3|2.00|15.5|3.5
W18X50|50.0|50.0|14.7|18.0|7.50|0.355|0.570|0.972|800|101|88.9|7.38|40.1|16.6|10.7|1.65|1.24|3040|32.7|34.9|17.7|49.9|1.98|15.5|3.5
W18X46|46.0|46.0|13.5|18.1|6.06|0.360|0.605|1.01|712|90.7|78.8|7.25|22.5|11.7|7.43|1.29|1.22|1720|26.5|24.3|15.1|44.9|1.58|15.5|3.5
W18X40|40.0|40.0|11.8|17.9|6.02|0.315|0.525|0.927|612|78.4|68.4|7.21|19.1|10.0|6.35|1.27|0.810|1440|26.1|20.7|13.0|38.6|1.56|15.5|3.5
W18X35|35.0|35.0|10.3|17.7|6.00|0.300|0.425|0.827|510|66.5|57.6|7.04|15.3|8.06|5.12|1.22|0.506|1140|25.9|16.5|10.5|32.7|1.51|15.5|3.5
W16X100|100|100|29.4|17.0|10.4|0.585|0.985|1.39|1490|198|175|7.10|186|54.9|35.7|2.51|7.73|11900|41.6|107|38.7|98.5|2.92|13.25|5.5
W16X89|89.0|89.0|26.2|16.8|10.4|0.525|0.875|1.28|1300|175|155|7.05|163|48.1|31.4|2.49|5.45|10200|41.4|94.2|34.4|87.3|2.88|13.25|5.5
W16X77|77.0|77.0|22.6|16.5|10.3|0.455|0.760|1.16|1110|150|134|7.00|138|41.1|26.9|2.47|3.57|8590|40.5|79.3|29.4|74.4|2.85|13.25|5.5
W16X67|67.0|67.0|19.6|16.3|10.2|0.395|0.665|1.07|954|130|117|6.96|119|35.5|23.2|2.46|2.39|7300|39.9|67.6|25.5|64.1|2.82|13.25|5.5
W16X57|57.0|57.0|16.8|16.4|7.12|0.430|0.715|1.12|758|105|92.2|6.72|43.1|18.9|12.1|1.60|2.22|2660|27.9|35.5|18.8|52.0|1.92|13.625|3.5
W16X50|50.0|50.0|14.7|16.3|7.07|0.380|0.630|1.03|659|92.0|81.0|6.68|37.2|16.3|10.5|1.59|1.52|2270|27.7|30.8|16.5|45.6|1.89|13.625|3.5
W16X45|45.0|45.0|13.3|16.1|7.04|0.345|0.565|0.967|586|82.3|72.7|6.65|32.8|14.5|9.34|1.57|1.11|1990|27.3|27.2|14.7|40.6|1.87|13.625|3.5
W16X40|40.0|40.0|11.8|16.0|7.00|0.305|0.505|0.907|518|73.0|64.7|6.63|28.9|12.7|8.25|1.57|0.794|1730|27.1|24.0|13.1|36.0|1.86|13.625|3.5
W16X36|36.0|36.0|10.6|15.9|6.99|0.295|0.430|0.832|448|64.0|56.5|6.51|24.5|10.8|7.00|1.52|0.545|1460|27.0|20.3|11.1|31.6|1.83|13.625|3.5
W16X31|31.0|31.0|9.13|15.9|5.53|0.275|0.440|0.842|375|54.0|47.2|6.41|12.4|7.03|4.49|1.17|0.461|739|21.4|13.0|8.94|26.6|1.42|13.625|3.5
W16X26|26.0|26.0|7.68|15.7|5.50|0.250|0.345|0.747|301|44.2|38.4|6.26|9.59|5.48|3.49|1.12|0.262|565|21.1|10.0|6.95|21.6|1.38|13.625|3.5
W14X873|873|873|257|23.6|18.8|3.94|5.51|6.10|18100|2030|1530|8.39|6170|1020|656|4.90|2270|505000|85.0|2200|370|1010|6.04|11.25|8.5
W14X808|808|808|238|22.8|18.6|3.74|5.12|5.71|15900|1830|1390|8.17|5550|930|597|4.83|1840|434000|82.2|1960|336|916|5.94|11.25|8.5
W14X730|730|730|215|22.4|17.9|3.07|4.91|5.51|14300|1660|1280|8.17|4720|816|527|4.69|1450|362000|78.3|1720|318|829|5.68|10|7.5
W14X665|665|665|196|21.6|17.7|2.83|4.52|5.12|12400|1480|1150|7.98|4170|730|472|4.62|1120|305000|75.6|1510|287|739|5.57|10|7.5
W14X605|605|605|178|20.9|17.4|2.60|4.16|4.76|10800|1320|1040|7.80|3680|652|423|4.55|869|258000|72.8|1320|258|657|5.44|10|7.5
W14X550|550|550|162|20.2|17.2|2.38|3.82|4.42|9430|1180|931|7.63|3250|583|378|4.49|669|219000|70.4|1160|232|585|5.35|10|7.5
W14X500|500|500|147|19.6|17.0|2.19|3.50|4.10|8210|1050|838|7.48|2880|522|339|4.43|514|187000|68.4|1020|209|522|5.26|10|7.5
W14X455|455|455|134|19.0|16.8|2.02|3.21|3.81|7190|936|756|7.33|2560|468|304|4.38|395|160000|66.3|894|187|466|5.17|10|7.5
W14X426|426|426|125|18.7|16.7|1.88|3.04|3.63|6600|869|706|7.26|2360|434|283|4.34|331|144000|65.4|830|176|435|5.11|10|7.5
W14X398|398|398|117|18.3|16.6|1.77|2.85|3.44|6000|801|656|7.16|2170|402|262|4.31|273|129000|64.1|758|163|401|5.05|10|7.5
W14X370|370|370|109|17.9|16.5|1.66|2.66|3.26|5440|736|607|7.07|1990|370|241|4.27|222|116000|62.9|690|150|367|5.00|10|7.5
W14X342|342|342|101|17.5|16.4|1.54|2.47|3.07|4900|672|558|6.98|1810|338|221|4.24|178|103000|61.6|624|138|335|4.95|10|7.5
W14X311|311|311|91.4|17.1|16.2|1.41|2.26|2.86|4330|603|506|6.88|1610|304|199|4.20|136|89100|60.1|550|124|300|4.87|10|7.5
W14X283|283|283|83.3|16.7|16.1|1.29|2.07|2.67|3840|542|459|6.79|1440|274|179|4.17|104|77700|58.9|491|112|269|4.80|10|7.5
W14X257|257|257|75.6|16.4|16.0|1.18|1.89|2.49|3400|487|415|6.71|1290|246|161|4.13|79.1|67800|58.0|439|102|243|4.75|10|7.5
W14X233|233|233|68.5|16.0|15.9|1.07|1.72|2.32|3010|436|375|6.63|1150|221|145|4.10|59.5|59000|56.8|388|91.1|216|4.69|10|7.5
W14X211|211|211|62.0|15.7|15.8|0.980|1.56|2.16|2660|390|338|6.55|1030|198|130|4.07|44.6|51500|55.9|344|81.7|194|4.64|10|7.5
W14X193|193|193|56.8|15.5|15.7|0.890|1.44|2.04|2400|355|310|6.50|931|180|119|4.05|34.8|45900|55.2|312|75.0|177|4.59|10|7.5
W14X176|176|176|51.8|15.2|15.7|0.830|1.31|1.91|2140|320|281|6.43|838|163|107|4.02|26.5|40500|54.5|280|67.6|159|4.55|10|7.5
W14X159|159|159|46.7|15.0|15.6|0.745|1.19|1.79|1900|287|254|6.38|748|146|96.2|4.00|19.7|35600|53.9|250|61.0|143|4.51|10|7.5
W14X145|145|145|42.7|14.8|15.5|0.680|1.09|1.69|1710|260|232|6.33|677|133|87.3|3.98|15.2|31700|53.1|224|55.4|129|4.47|10|7.5
W14X132|132|132|38.8|14.7|14.7|0.645|1.03|1.63|1530|234|209|6.28|548|113|74.5|3.76|12.3|25500|50.2|190|49.5|116|4.23|10|5.5
W14X120|120|120|35.3|14.5|14.7|0.590|0.940|1.54|1380|212|190|6.24|495|102|67.5|3.74|9.37|22700|49.8|172|45.0|105|4.20|10|5.5
W14X109|109|109|32.0|14.3|14.6|0.525|0.860|1.46|1240|192|173|6.22|447|92.7|61.2|3.73|7.12|20200|49.1|154|40.7|94.8|4.17|10|5.5
W14X99|99.0|99.0|29.1|14.2|14.6|0.485|0.780|1.38|1110|173|157|6.17|402|83.6|55.2|3.71|5.37|18000|49.0|139|36.9|86.1|4.14|10|5.5
W14X90|90.0|90.0|26.5|14.0|14.5|0.440|0.710|1.31|999|157|143|6.14|362|75.6|49.9|3.70|4.06|16000|48.2|124|33.2|77.1|4.10|10|5.5
W14X82|82.0|82.0|24.0|14.3|10.1|0.510|0.855|1.45|881|139|123|6.05|148|44.8|29.3|2.48|5.07|6710|33.9|73.3|27.6|68.2|2.85|10.875|5.5
W14X74|74.0|74.0|21.8|14.2|10.1|0.450|0.785|1.38|795|126|112|6.04|134|40.5|26.6|2.48|3.87|5990|33.9|67.1|25.4|62.2|2.83|10.875|5.5
W14X68|68.0|68.0|20.0|14.0|10.0|0.415|0.720|1.31|722|115|103|6.01|121|36.9|24.2|2.46|3.01|5380|33.2|59.8|22.9|56.0|2.80|10.875|5.5
W14X61|61.0|61.0|17.9|13.9|10.0|0.375|0.645|1.24|640|102|92.1|5.98|107|32.8|21.5|2.45|2.19|4710|33.1|53.4|20.6|50.2|2.78|10.875|5.5
W14X53|53.0|53.0|15.6|13.9|8.06|0.370|0.660|1.25|541|87.1|77.8|5.89|57.7|22.0|14.3|1.92|1.94|2540|26.7|35.5|16.8|42.5|2.22|10.875|5.5
W14X48|48.0|48.0|14.1|13.8|8.03|0.340|0.595|1.19|484|78.4|70.2|5.85|51.4|19.6|12.8|1.91|1.45|2240|26.5|31.7|15.1|38.3|2.20|10.875|5.5
W14X43|43.0|43.0|12.6|13.7|8.00|0.305|0.530|1.12|428|69.6|62.6|5.82|45.2|17.3|11.3|1.89|1.05|1950|26.3|27.9|13.4|34.0|2.18|10.875|5.5
