name|weight|mass|A|OD|tnom|tdes|I|Z|S|r|J
  |lbf/ft|lbm/ft|in²|in|in|in|in⁴|in³|in³|in|in⁴
HSS6.625X.500|32.74|32.74|9|6.63|0.5|0.465|42.9|17.7|13|2.18|85.9
HSS6.625X.432|28.6|28.6|7.86|6.63|0.432|0.402|38.2|15.6|11.5|2.2|76.4
HSS6.625X.375|25.06|25.06|6.88|6.63|0.375|0.349|34|13.8|10.3|2.22|68
HSS6.625X.312|21.06|21.06|5.79|6.63|0.312|0.291|29.1|11.7|8.79|2.24|58.2
HSS6.625X.280|18.99|18.99|5.2|6.63|0.28|0.26|26.4|10.5|7.96|2.25|52.7
HSS6.625X.250|17.04|17.04|4.68|6.63|0.25|0.233|23.9|9.52|7.22|2.26|47.9
HSS6.625X.188|12.94|12.94|3.53|6.63|0.188|0.174|18.4|7.24|5.54|2.28|36.7
HSS6.625X.125|8.69|8.69|2.37|6.63|0.125|0.116|12.6|4.92|3.79|2.3|25.1
HSS6X.500|29.4|29.4|8.09|6|0.5|0.465|31.2|14.3|10.4|1.96|62.4
HSS6X.375|22.55|22.55|6.2|6|0.375|0.349|24.8|11.2|8.28|2|49.7
HSS6X.312|18.97|18.97|5.22|6|0.312|0.291|21.3|9.49|7.11|2.02|42.6
HSS6X.280|17.12|17.12|4.69|6|0.28|0.26|19.3|8.57|6.45|2.03|38.7
HSS6X.250|15.37|15.37|4.22|6|0.25|0.233|17.6|7.75|5.86|2.04|35.2
HSS6X.188|11.68|11.68|3.18|6|0.188|0.174|13.5|5.91|4.51|2.06|27
HSS6X.125|7.85|7.85|2.14|6|0.125|0.116|9.28|4.02|3.09|2.08|18.6
HSS5.563X.500|27.06|27.06|7.45|5.56|0.5|0.465|24.4|12.1|8.77|1.81|48.8
HSS5.563X.375|20.8|20.8|5.72|5.56|0.375|0.349|19.5|9.5|7.02|1.85|39
HSS5.563X.258|14.63|14.63|4.01|5.56|0.258|0.24|14.2|6.8|5.12|1.88|28.5
HSS5.563X.188|10.8|10.8|2.95|5.56|0.188|0.174|10.7|5.05|3.85|1.91|21.4
