name|weight|mass|A|d|bf|tw|tf|kdes|y|yp|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|J|Cw|ro|H|WGi
  |lbf/ft|lbm/ft|in²|in|in|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in⁴|in⁶|in||in
WT13.5X269.5|269.5|269.5|79.3|16.3|15.3|1.97|3.54|4.33|4.34|2.6|1530|242|128|4.39|1060|218|138|3.65|247|1740|6.26|0.831|5.5
WT13.5X184|184|184|54.2|15.2|14.7|1.38|2.48|3.27|3.71|1.85|939|151|81.7|4.16|655|140|89.3|3.48|84.5|532|5.96|0.828|5.5
WT13.5X168|168|168|49.5|15|14.6|1.26|2.28|3.07|3.58|1.7|839|135|73.4|4.12|587|126|80.8|3.45|65.4|401|5.9|0.829|5.5
WT13.5X153.5|153.5|153.5|45.2|14.8|14.4|1.16|2.09|2.88|3.47|1.56|753|121|66.4|4.08|527|113|72.9|3.41|50.5|304|5.85|0.828|5.5
WT13.5X140.5|140.5|140.5|41.5|14.6|14.4|1.06|1.93|2.72|3.35|1.44|677|109|59.9|4.04|477|103|66.4|3.39|39.6|232|5.79|0.83|5.5
WT13.5X129|129|129|38.1|14.5|14.3|0.98|1.77|2.56|3.27|1.33|613|98.9|54.7|4.02|430|93.3|60.2|3.36|30.7|178|5.76|0.828|5.5
WT13.5X117.5|117.5|117.5|34.7|14.3|14.2|0.91|1.61|2.4|3.2|1.22|556|89.9|50|4|384|83.8|54.2|3.33|23.4|135|5.73|0.825|5.5
WT13.5X108.5|108.5|108.5|32|14.2|14.1|0.83|1.5|2.29|3.1|1.13|502|81.1|45.2|3.96|352|77|49.9|3.32|18.8|105|5.68|0.828|5.5
WT13.5X97|97|97|28.6|14.1|14|0.75|1.34|2.13|3.02|1.02|444|71.8|40.3|3.94|309|67.8|44.1|3.29|13.5|74.3|5.64|0.827|5.5
WT13.5X89|89|89|26.3|13.9|14.1|0.725|1.19|1.98|3.04|0.932|414|67.7|38.2|3.97|278|60.8|39.4|3.25|10|57.7|5.69|0.815|5.5
WT13.5X80.5|80.5|80.5|23.8|13.8|14|0.66|1.08|1.87|2.98|0.849|372|60.8|34.4|3.95|248|54.5|35.4|3.23|7.53|42.7|5.66|0.814|5.5
WT13.5X73|73|73|21.6|13.7|14|0.605|0.975|1.76|2.94|0.772|336|55|31.2|3.95|222|48.8|31.7|3.2|5.62|31.7|5.64|0.812|5.5
WT13.5X64.5|64.5|64.5|18.9|13.8|10|0.61|1.1|1.7|3.39|0.945|323|55.1|31|4.13|92.2|28.8|18.4|2.21|5.55|24|5.48|0.732|5.5
WT13.5X57|57|57|16.8|13.6|10.1|0.57|0.93|1.53|3.42|0.832|289|50.4|28.3|4.15|79.3|24.6|15.8|2.18|3.65|17.5|5.54|0.716|5.5
WT13.5X51|51|51|15|13.5|10|0.515|0.83|1.43|3.37|0.75|258|45|25.3|4.14|69.6|21.7|13.9|2.15|2.63|12.6|5.53|0.713|5.5
WT13.5X47|47|47|13.8|13.5|10|0.49|0.745|1.34|3.41|0.692|239|42.4|23.8|4.16|62|19.4|12.4|2.12|2.01|10.2|5.57|0.702|5.5
WT13.5X42|42|42|12.4|13.4|10|0.46|0.64|1.24|3.48|0.621|216|39.2|21.9|4.18|52.8|16.6|10.6|2.07|1.4|7.79|5.63|0.685|5.5
WT12X185|185|185|54.5|14|13.7|1.52|2.72|3.22|3.57|1.99|779|140|74.7|3.78|581|133|85.1|3.27|100|553|5.47|0.837|5.5
WT12X167.5|167.5|167.5|49.1|13.8|13.5|1.38|2.48|2.98|3.42|1.82|686|123|66.3|3.73|513|119|75.9|3.23|75.6|405|5.4|0.837|5.5
WT12X153|153|153|44.9|13.6|13.4|1.26|2.28|2.78|3.29|1.67|611|110|59.4|3.69|460|107|68.6|3.2|58.4|305|5.34|0.837|5.5
WT12X139.5|139.5|139.5|41|13.4|13.3|1.16|2.09|2.59|3.18|1.54|546|98.8|53.6|3.65|412|96.3|61.9|3.17|45.1|230|5.28|0.837|5.5
WT12X125|125|125|36.8|13.2|13.2|1.04|1.89|2.39|3.05|1.39|478|86.5|47.2|3.61|362|85.2|54.9|3.14|33.2|165|5.22|0.838|5.5
WT12X114.5|114.5|114.5|33.6|13|13.1|0.96|1.73|2.23|2.96|1.28|431|78.1|42.9|3.58|326|77|49.7|3.11|25.5|125|5.19|0.836|5.5
WT12X103.5|103.5|103.5|30.3|12.9|13|0.87|1.57|2.07|2.87|1.17|382|69.3|38.3|3.55|289|68.6|44.4|3.08|19.1|91.3|5.14|0.836|5.5
WT12X96|96|96|28.2|12.7|13|0.81|1.46|1.96|2.8|1.09|350|63.5|35.2|3.53|265|63.1|40.9|3.07|15.3|72.5|5.11|0.836|5.5
WT12X88|88|88|25.8|12.6|12.9|0.75|1.34|1.84|2.74|1|319|57.8|32.2|3.51|240|57.3|37.2|3.04|11.9|55.8|5.09|0.835|5.5
WT12X81|81|81|23.9|12.5|13|0.705|1.22|1.72|2.7|0.921|293|53.3|29.9|3.5|221|52.6|34.2|3.05|9.22|43.8|5.09|0.832|5.5
WT12X73|73|73|21.5|12.4|12.9|0.65|1.09|1.59|2.66|0.833|264|48.2|27.2|3.5|195|46.6|30.3|3.01|6.7|31.9|5.08|0.827|5.5
WT12X65.5|65.5|65.5|19.3|12.2|12.9|0.605|0.96|1.46|2.65|0.75|238|43.9|24.8|3.52|170|40.7|26.5|2.97|4.74|23.1|5.09|0.818|5.5
WT12X58.5|58.5|58.5|17.2|12.1|12.8|0.55|0.85|1.35|2.62|0.672|212|39.2|22.3|3.51|149|35.7|23.2|2.94|3.35|16.4|5.08|0.814|5.5
WT12X52|52|52|15.3|12|12.8|0.5|0.75|1.25|2.59|0.6|189|35.1|20|3.51|130|31.2|20.3|2.91|2.35|11.6|5.07|0.809|5.5
WT12X51.5|51.5|51.5|15.1|12.3|9|0.55|0.98|1.48|3.01|0.841|204|39.2|22|3.67|59.7|20.7|13.3|1.99|3.53|12.3|4.88|0.733|5.5
WT12X47|47|47|13.8|12.2|9.07|0.515|0.875|1.38|2.99|0.764|186|36.1|20.3|3.67|54.5|18.7|12|1.98|2.62|9.57|4.89|0.727|5.5
WT12X42|42|42|12.4|12.1|9.02|0.47|0.77|1.27|2.97|0.685|166|32.5|18.3|3.67|47.2|16.3|10.5|1.95|1.84|6.9|4.9|0.72|5.5
WT12X38|38|38|11.2|12|8.99|0.44|0.68|1.18|3|0.622|151|30.1|16.9|3.68|41.3|14.3|9.18|1.92|1.34|5.3|4.93|0.709|5.5
WT12X34|34|34|10|11.9|8.97|0.415|0.585|1.09|3.06|0.56|137|27.9|15.6|3.7|35.2|12.3|7.85|1.87|0.932|4.08|4.99|0.691|5.5
WT12X31|31|31|9.11|11.9|7.04|0.43|0.59|1.09|3.46|1.28|131|28.4|15.6|3.79|17.2|7.85|4.9|1.38|0.85|3.92|5.13|0.619|5.5
