name|weight|mass|A|d|bf|tw|tf|kdes|Ix|Zx|Sx|rx|Iy|Zy|Sy|ry|x|eo|J|Cw|rts|WGi|metricName
unit|lbf/ft|lbm/ft|in²|in|in|in|in|in|in⁴|in³|in³|in|in⁴|in³|in³|in|in|in|in⁴|in⁶|in|in|
MC18X51.9|51.9|51.9|15.3|18|4.1|0.6|0.625|1.44|627|87.3|69.6|6.41|16.3|9.86|5.02|1.03|0.858|0.797|2.03|985|1.35|2.5|MC460X77.2
MC18X45.8|45.8|45.8|13.5|18|4|0.5|0.625|1.44|578|79.2|64.2|6.55|14.9|9.14|4.77|1.05|0.866|0.909|1.45|897|1.34|2.5|MC460X68.2
MC18X42.7|42.7|42.7|12.6|18|3.95|0.45|0.625|1.44|554|75.1|61.5|6.64|14.3|8.82|4.64|1.07|0.877|0.969|1.23|852|1.34|2.5|MC460X63.5
MC13X50|50|50|14.7|13|4.41|0.787|0.61|1.44|314|60.8|48.3|4.62|16.4|10.2|4.77|1.06|0.974|0.815|2.96|558|1.41|2.5|MC330X74
MC13X40|40|40|11.7|13|4.19|0.56|0.61|1.44|273|51.2|41.9|4.82|13.7|8.66|4.24|1.08|0.963|1.03|1.55|462|1.38|2.5|MC330X60
MC13X35|35|35|10.3|13|4.07|0.447|0.61|1.44|252|46.5|38.8|4.95|12.3|8.04|3.97|1.09|0.98|1.16|1.13|412|1.35|2.5|MC330X52
MC13X31.8|31.8|31.8|9.35|13|4|0.375|0.61|1.44|239|43.4|36.7|5.05|11.4|7.69|3.79|1.1|1|1.24|0.937|380|1.34|2.5|MC330X47.3
MC12X50|50|50|14.7|12|4.14|0.835|0.7|1.31|269|56.5|44.9|4.28|17.4|10.9|5.64|1.09|1.05|0.741|3.23|411|1.37|2.5|MC310X74
MC12X45|45|45|13.2|12|4.01|0.71|0.7|1.31|251|52|41.9|4.36|15.8|10.1|5.3|1.09|1.04|0.844|2.33|373|1.35|2.5|MC310X67
MC12X40|40|40|11.8|12|3.89|0.59|0.7|1.31|234|47.7|39|4.46|14.2|9.31|4.98|1.1|1.04|0.952|1.69|336|1.33|2.5|MC310X60
MC12X35|35|35|10.3|12|3.77|0.465|0.7|1.31|216|43.2|36|4.59|12.6|8.62|4.64|1.11|1.05|1.07|1.24|297|1.30|2.5|MC310X52
